,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
0,Kiribati,1993,male,35-54 years,3,6370,47.1,Kiribati1993,,46919625,735,Boomers
1,Kiribati,1993,male,15-24 years,3,6585,45.56,Kiribati1993,,46919625,735,Generation X
2,Kiribati,1993,male,55-74 years,1,2384,41.95,Kiribati1993,,46919625,735,Silent
3,Kiribati,1993,male,25-34 years,2,5958,33.57,Kiribati1993,,46919625,735,Boomers
4,Kiribati,1993,female,15-24 years,1,6579,15.2,Kiribati1993,,46919625,735,Generation X
5,Kiribati,1993,female,5-14 years,1,9415,10.62,Kiribati1993,,46919625,735,Millenials
6,Kiribati,1993,male,5-14 years,1,9780,10.22,Kiribati1993,,46919625,735,Millenials
7,Kiribati,1993,female,25-34 years,0,6436,0.0,Kiribati1993,,46919625,735,Boomers
8,Kiribati,1993,female,35-54 years,0,6730,0.0,Kiribati1993,,46919625,735,Boomers
9,Kiribati,1993,female,55-74 years,0,2840,0.0,Kiribati1993,,46919625,735,Silent
10,Kiribati,1993,female,75+ years,0,481,0.0,Kiribati1993,,46919625,735,G.I. Generation
11,Kiribati,1993,male,75+ years,0,290,0.0,Kiribati1993,,46919625,735,G.I. Generation
12,Kiribati,1991,male,15-24 years,5,6789,73.65,Kiribati1991,,47515189,768,Generation X
13,Kiribati,1991,male,55-74 years,1,2345,42.64,Kiribati1991,,47515189,768,Silent
14,Kiribati,1991,male,25-34 years,1,5615,17.81,Kiribati1991,,47515189,768,Boomers
15,Kiribati,1991,male,35-54 years,1,6101,16.39,Kiribati1991,,47515189,768,Boomers
16,Kiribati,1991,female,25-34 years,1,6105,16.38,Kiribati1991,,47515189,768,Boomers
17,Kiribati,1991,female,15-24 years,1,6818,14.67,Kiribati1991,,47515189,768,Generation X
18,Kiribati,1991,female,35-54 years,0,6440,0.0,Kiribati1991,,47515189,768,Boomers
19,Kiribati,1991,female,5-14 years,0,8932,0.0,Kiribati1991,,47515189,768,Millenials
20,Kiribati,1991,female,55-74 years,0,2759,0.0,Kiribati1991,,47515189,768,Silent
21,Kiribati,1991,female,75+ years,0,460,0.0,Kiribati1991,,47515189,768,G.I. Generation
22,Kiribati,1991,male,5-14 years,0,9213,0.0,Kiribati1991,,47515189,768,Millenials
23,Kiribati,1991,male,75+ years,0,278,0.0,Kiribati1991,,47515189,768,G.I. Generation
24,Kiribati,1992,female,55-74 years,1,2799,35.73,Kiribati1992,,47737955,759,Silent
25,Kiribati,1992,male,15-24 years,2,6669,29.99,Kiribati1992,,47737955,759,Generation X
26,Kiribati,1992,male,35-54 years,1,6226,16.06,Kiribati1992,,47737955,759,Boomers
27,Kiribati,1992,female,15-24 years,0,6692,0.0,Kiribati1992,,47737955,759,Generation X
28,Kiribati,1992,female,25-34 years,0,6273,0.0,Kiribati1992,,47737955,759,Boomers
29,Kiribati,1992,female,35-54 years,0,6581,0.0,Kiribati1992,,47737955,759,Boomers
30,Kiribati,1992,female,5-14 years,0,9190,0.0,Kiribati1992,,47737955,759,Millenials
31,Kiribati,1992,female,75+ years,0,474,0.0,Kiribati1992,,47737955,759,G.I. Generation
32,Kiribati,1992,male,25-34 years,0,5802,0.0,Kiribati1992,,47737955,759,Boomers
33,Kiribati,1992,male,5-14 years,0,9496,0.0,Kiribati1992,,47737955,759,Millenials
34,Kiribati,1992,male,55-74 years,0,2368,0.0,Kiribati1992,,47737955,759,Silent
